,Neighborhood,Percent Overdue,Total Requests,num
18,Biddle Street,0.2315653298835705,773,5
135,Middle East,0.23490813648293962,762,6
54,Darley Park,0.27111111111111114,225,8
204,South Clifton Park,0.2823920265780731,602,10
67,Ellwood Park/Monument,0.28773584905660377,212,12
48,Coldstream Homestead Montebello,0.29452369995398064,2173,13
138,Milton-Montford,0.29832935560859186,419,14
62,East Baltimore Midway,0.3014851485148515,2020,15
15,Berea,0.3016344725111441,673,16
30,Canton,0.3135593220338983,118,17
128,Madison-Eastend,0.3142857142857143,245,18
139,Mondawmin,0.31438721136767317,1126,19
119,Langston Hughes,0.3201320132013201,303,20
11,Belair-Edison,0.33783783783783783,518,25
158,Oliver,0.3426732298371829,2641,26
63,Easterwood,0.346,500,27
20,Boyd-Booth,0.37371134020618557,388,29
228,Wilson Park,0.3741496598639456,147,30
77,Four By Four,0.37898089171974525,314,32
78,Frankford,0.39351851851851855,216,35
236,Wrenlane,0.39705882352941174,68,36
23,Broadway East,0.4155437167032278,6382,39
3,Arlington,0.42479338842975206,605,41
199,Sandtown-Winchester,0.4332797427652733,2488,42
101,Hillen,0.4375,48,43
157,Oldtown,0.4406779661016949,295,44
185,Richnor Springs,0.4406779661016949,59,45
213,Upton,0.4455909943714822,2132,47
133,Mid-Govans,0.4457831325301205,83,48
112,Kenilworth Park,0.46511627906976744,43,52
27,Butcher's Hill,0.4722222222222222,36,53
172,Penn North,0.475,1080,55
109,Johnston Square,0.4791666666666667,912,56
50,Coppin Heights/Ash-Co-East,0.4815303430079156,758,57
111,Jonestown,0.4823529411764706,85,58
171,Pen Lucy,0.4859437751004016,249,59
16,Better Waverly,0.4879356568364611,373,60
59,Druid Heights,0.4890310786106033,1094,61
86,Glenham-Belhar,0.4895833333333333,96,62
40,Central Park Heights,0.49259757738896365,3715,63
7,Barclay,0.5,488,69
35,Carrollton Ridge,0.5002974419988102,1681,77
235,Woodmere,0.5042016806722689,119,78
231,Winston-Govans,0.5220588235294118,136,80
97,Harlem Park,0.5222876366694701,2378,81
98,Harwood,0.5283018867924528,53,82
218,Washington Hill,0.5319148936170213,141,83
100,Highlandtown,0.5355191256830601,183,84
74,Fells Point,0.5370370370370371,54,85
22,Bridgeview/Greenlawn,0.5372549019607843,255,86
212,Upper Fells Point,0.5405405405405406,37,87
66,Ednor Gardens-Lakeside,0.5420560747663551,107,89
217,Waltherson,0.5625,176,91
234,Woodbourne-McCabe,0.562874251497006,835,92
89,Greenmount West,0.5657894736842105,76,93
220,Waverly,0.5668789808917197,157,94
167,Parkview/Woodbrook,0.5701357466063348,442,95
224,Westfield,0.5714285714285714,147,96
153,Northwest Community Action,0.5732984293193717,764,99
83,Gay Street,0.5773195876288659,194,100
29,Cameron Village,0.5813953488372093,43,101
130,McElderry Park,0.5827814569536424,302,102
37,Cedmont,0.5833333333333334,48,103
95,Hampden,0.5846153846153846,130,104
202,Shipley Hill,0.5910493827160493,1296,107
210,Union Square,0.5914634146341463,164,108
164,Park Circle,0.597864768683274,843,109
124,Loch Raven,0.6153846153846154,52,114
147,Mount Winans,0.6174863387978142,183,115
25,Brooklyn,0.6262626262626263,495,117
6,Baltimore Highlands,0.6428571428571429,70,119
120,Lauraville,0.6521739130434783,69,120
150,New Southwest/Mount Clare,0.6593591905564924,593,121
184,Reservoir Hill,0.6654135338345865,266,122
232,Woodberry,0.6666666666666666,39,125
126,Lucille Park,0.6758620689655173,145,135
151,North Harford Road,0.6779661016949152,59,136
43,Cherry Hill,0.6920152091254753,263,137
183,Remington,0.7,80,139
10,Beechfield,0.7073170731707317,41,140
208,Towanda-Grantley,0.7073170731707317,287,141
229,Winchester,0.7142857142857143,343,144
174,Penrose/Fayette Street Outreach,0.7196850393700788,635,145
90,Greenspring,0.7243346007604563,526,146
226,Westport,0.725752508361204,299,147
79,Franklin Square,0.7274418604651163,1075,149
136,Midtown-Edmondson,0.7325456498388829,931,150
53,Cylburn,0.734375,64,151
221,West Arlington,0.7373737373737373,99,152
178,Poppleton,0.7431629013079667,841,153
56,Dorchester,0.7485380116959064,171,154
39,Central Forest Park,0.75,52,161
165,Parklane,0.7525773195876289,97,162
122,Liberty Square,0.7560975609756098,41,163
216,Walbrook,0.7602230483271375,538,164
169,Patterson Park Neighborhood,0.7631578947368421,38,166
222,West Forest Park,0.7692307692307693,78,168
55,Dolfield,0.7719298245614035,57,169
96,Hanlon-Longwood,0.772020725388601,193,170
142,Morrell Park,0.7758620689655172,116,171
219,Washington Village/Pigtown,0.7804878048780488,369,173
1,Allendale,0.7850467289719626,428,174
28,Callaway-Garrison,0.7857142857142857,42,176
105,Howard Park,0.7891566265060241,166,177
103,Hollins Market,0.7916666666666666,192,178
193,Rosemont Homeowners/Tenants,0.8148148148148148,216,183
176,Pimlico Good Neighbors,0.8169014084507042,71,184
52,Curtis Bay,0.8181818181818182,242,185
191,Rosemont,0.8188775510204082,392,187
125,Lower Edmondson Village,0.8217821782178217,101,188
65,Edmondson Village,0.8227848101265823,79,189
137,Millhill,0.8267148014440433,277,191
230,Windsor Hills,0.8444444444444444,45,194
75,Forest Park,0.847457627118644,118,196
93,Gwynns Falls,0.847682119205298,151,197
108,Irvington,0.852760736196319,163,198
144,Mount Holly,0.8536585365853658,246,200
163,Panway/Braddish Avenue,0.8571428571428571,42,201
34,Carroll-South Hilton,0.8626373626373627,182,203
49,Concerned Citizens Of Forest Park,0.865979381443299,97,204
81,Franklintown Road,0.8686679174484052,533,205
143,Mosher,0.8722741433021807,642,206
118,Lakeland,0.8852459016393442,61,209
197,Saint Josephs,0.8895348837209303,344,210
82,Garwyn Oaks,0.8958333333333334,48,211
57,Downtown,0.9077809798270894,347,212
68,Evergreen Lawn,0.9565217391304348,69,214
